"date","reported"
2020-04-02,15
2020-04-03,20
2020-04-04,11
2020-04-05,17
2020-04-06,12
2020-04-07,14
2020-04-08,17
2020-04-09,29
2020-04-10,29
2020-04-11,27
2020-04-12,17
2020-04-13,27
2020-04-14,23
2020-04-15,27
2020-04-16,35
2020-04-17,34
2020-04-18,44
2020-04-19,30
2020-04-20,34
2020-04-21,31
2020-04-22,39
2020-04-23,39
2020-04-24,35
2020-04-25,44
2020-04-26,49
2020-04-27,49
2020-04-28,31
2020-04-29,58
2020-04-30,67
2020-05-01,43
2020-05-02,62
2020-05-03,50
2020-05-04,40
2020-05-05,67
2020-05-06,55
2020-05-07,63
2020-05-08,55
2020-05-09,56
2020-05-10,68
2020-05-11,70
2020-05-12,46
2020-05-13,67
2020-05-14,41
2020-05-15,57
2020-05-16,65
2020-05-17,67
2020-05-18,47
2020-05-19,39
2020-05-20,50
2020-05-21,54
