# BEAST v1.10.4
# Generated Wed Jul 24 13:10:57 BST 2024 [seed=1721823056415]
# -save_every 1000 -save_state results/out/checkpoint.state results/in/input.xml
# keywords: skygrid
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.logPopSize11	skygrid.logPopSize12	skygrid.logPopSize13	skygrid.logPopSize14	skygrid.cutOff	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	skygrid
0	-71680.59716576437	-8578.03018807363	-63102.56697769073	124.02056872741254	1899.508198395875	1168.260429101831	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	1.0	1.0	-63102.56697769073	0.0	-7405.56245921295
1000	-21816.754913204553	-1293.4213406614645	-20523.333572543088	96.39704128190716	1927.1317258413806	977.797485571047	0.08234419674848267	9.95935628033869	4.9696441212610045	5.294119453468028	4.360433322358093	4.237625120765774	4.294591798421365	4.597823146347455	5.176334357175309	3.98240335345193	5.014695844653048	4.118407608613739	4.193712904786108	4.773025730850814	4.47394777734916	7.0	3.686544159411534	4.360389053186263	0.26535590483410537	0.2419662402186401	0.24777915738582115	0.24489869756143337	0.21533797986679995	0.4182650455429914	0.5334234332677685	0.4665765667322315	0.8001351499016528	1.3997297001966946	0.18151307032429836	0.1815130703242983	-20523.333572543088	0.0	-1111.9902634142493
2000	-18581.67410577093	-1136.2360625746353	-17445.438043196293	69.59245871250302	1953.9363084107847	891.0901856821148	0.10878167351216576	4.194979244075095	5.035781881049307	6.310358134997205	4.720667968889333	3.1822601280618454	6.382761861613361	4.760317712233412	5.509136191312151	5.291137429807292	4.866103966178347	4.800214054325628	4.311448553672084	4.863366290287847	4.281383569450899	7.0	6.124967271225327	8.377305441703884	0.2674535466533341	0.23235078511579543	0.24971307609074006	0.2504825921401304	0.19169524621898032	0.3163598995819594	0.5525040151294371	0.4474959848705633	0.8287560226941557	1.34248795461169	0.02317260284720054	0.02317260284720053	-17445.438043196293	0.0	-1110.9187487733054
3000	-17180.161585617818	-1138.3718072154868	-16041.78977840233	66.70735897430522	1956.8214081489825	905.963669744784	0.13597201397841416	5.234155510887414	5.067888175457896	8.078448283975433	5.285312996384746	3.121655393133729	5.060189195956637	5.176061047522789	7.642029414894454	5.919634525423048	5.862204518162354	4.974880293627276	4.771562506931332	4.87286464098283	3.888657692762656	7.0	4.6522602811522695	7.234012583390283	0.27583536095583866	0.20994951295335862	0.2583217232545757	0.255893402836227	0.1420272916102195	0.20856063993996324	0.5691105973099954	0.43088940269000514	0.853665895964993	1.2926682080700154	0.008886907336211199	0.00888690733621121	-16041.78977840233	0.0	-1126.8709983102503
4000	-16373.472140785849	-1122.2431548635425	-15251.228985922306	50.11227609600882	1973.4164910272789	823.2643481440234	0.1893147359637089	6.0238240715090985	6.154558385344579	7.089718480327707	5.689823634575432	3.8136018278277297	5.124301389974736	4.69524504184424	6.716902224236366	6.128313557144848	5.375791543384196	5.405543367159592	5.17671208227269	4.46235412955275	3.8579021500130484	7.0	4.440518312030454	7.962089861584313	0.28549734158328444	0.21902174654548714	0.2381241377152767	0.25735677415595176	0.13957490994781366	0.23546812353249225	0.5717535346123014	0.42824646538769895	0.8576303019184521	1.2847393961630968	0.007453003112977892	0.007453003112977897	-15251.228985922306	0.0	-1112.2212892160674
5000	-15651.960825656475	-1135.9025254270534	-14516.058300229422	44.63634596246688	1978.8924211608207	815.9740349319743	0.4111882678732012	4.345429843026248	6.174705737803826	6.544389638165907	5.842097853966261	4.694673734250239	4.982692730461382	4.767273840692	6.440505393368519	6.206993347524647	5.929133480137812	5.337415936874138	5.715797748827605	4.6595430295033795	3.7218956330253583	7.0	4.884741272742623	7.482527625998305	0.30803816623458147	0.21279270592055602	0.2176228888072675	0.2615462390375951	0.09443446541966835	0.2330209137623035	0.625157127625245	0.3748428723747558	0.9377356914378675	1.1245286171242674	0.007860503942371415	0.007860503942371425	-14516.058300229422	0.0	-1124.8669202724611
6000	-15039.690893068282	-1131.8630961518888	-13907.827796916394	39.231110751430656	1984.297656371857	807.6460404450737	2.585493774244813	4.976716429132821	4.7855003996116405	5.969902564384693	5.407347774228185	4.332004377658252	4.75457787340488	5.292194865496026	5.248117143272045	5.7253256881010195	5.970939172682198	5.87531070034431	5.072393098492158	4.658415525126809	3.698022360195494	7.0	4.651034071561938	7.387466189774907	0.3565825012487378	0.20101214709034085	0.17312080031968544	0.269284551341236	0.09443446541966835	0.20865599241822375	0.6287239015708513	0.3712760984291492	0.9430858523562771	1.1138282952874476	0.006573599308692733	0.00657359930869273	-13907.827796916394	0.0	-1120.3140230633035
7000	-14379.450516845605	-1154.0183409921474	-13225.432175853457	35.14077632041304	1988.3879908028746	854.0026163417255	4.864314232130183	5.811530780512507	6.065897376743274	5.587888968970722	5.683237858462975	5.286117374400033	4.845797607689658	5.396577321731507	5.643996224043832	5.806077612019092	5.721790038959309	6.161824799918822	5.40892244822553	4.7574293824752685	4.037348408366783	7.0	4.2534082223869705	7.587431512848917	0.3819909907530217	0.20101214709034085	0.18935437789805581	0.22764248425858177	0.09410034003965809	0.22606540343158027	0.6145737573305701	0.3854262426694305	0.9218606359958551	1.1562787280082913	0.005342538264704793	0.005342538264704794	-13225.432175853457	0.0	-1142.7531529979867
8000	-13872.742252281454	-1156.2279800460794	-12716.514272235374	22.698411255411543	2000.8303558678763	787.201381588583	2.9802301100766053	5.433969246339952	4.993108214526026	5.591055511716473	4.960865050705727	4.955592489091303	5.442292725446505	5.951002181691424	6.190298404572092	6.079693807371858	5.2532089616215565	5.7857430085930766	5.599457688880849	4.760158630983201	4.03757154386673	7.0	4.619859876401311	7.439542286739	0.3819909907530217	0.20101214709034085	0.19313014815958301	0.22386671399705457	0.10557926977853445	0.24175992879567032	0.6667806517664546	0.33321934823354604	1.0001709776496819	0.9996580447006381	0.004927307003378653	0.004927307003378654	-12716.514272235374	0.0	-1146.0072333488743
9000	-13481.050093019421	-1139.8549236211393	-12341.195169398281	22.844305102816723	2000.684462020471	759.7905830392358	1.5629803342587716	6.693711870909061	5.751799495093575	5.268689829608651	5.921845669050448	5.251428172590878	4.414718872990806	5.251397292675452	6.307713854458818	5.860046665812577	5.699335776013788	6.204629141745433	5.646177930622373	4.911841776206229	4.111881121309538	7.0	4.655744455865677	9.082622003151489	0.36603090315061654	0.1776171907021971	0.1845544581678212	0.2717974479793653	0.09648524474243272	0.22933287761904633	0.6404962425728967	0.35950375742710383	0.9607443638593451	1.0785112722813115	0.004161485021685244	0.00416148502168525	-12341.195169398281	0.0	-1130.7557989757079
10000	-13116.874336805922	-1150.8548921798454	-11966.019444626078	17.83635623352108	2005.6924108897667	766.3471417429797	0.6846350929065097	3.9886734140442552	5.220293287189032	4.478130747829863	5.837678952566402	4.722037367148574	4.855839717521861	5.975193254167982	6.624652878460248	5.879188197950104	5.311650644054618	6.036825256317554	5.5395671712961	4.6571189069975985	3.8343706126032098	7.0	5.521555193655916	9.000085967842699	0.36603090315061654	0.19095807993790204	0.1845544581678212	0.2584565587436603	0.10434736845033454	0.26482003748892735	0.6782076437184132	0.32179235628158737	1.0173114655776199	0.965377068844762	0.003648316349939359	0.0036483163499393583	-11966.019444626078	0.0	-1142.7082113759245
11000	-12699.701316739776	-1151.2032917074296	-11548.498025032346	19.179753907512534	2004.3490132157751	765.1190331746146	0.9510608746998527	3.3111371581259483	4.226398275897333	4.28602757201173	6.30954524200177	6.032098425163567	4.730479641565887	5.320237362811408	6.813933845602172	6.445520850503928	6.627786329563649	6.160507688217672	5.668123779395104	4.636110770806962	4.103670978159023	7.0	5.286457516413562	7.87487089349764	0.3677601978657867	0.1892287852227319	0.1845544581678212	0.2584565587436603	0.10468474080015579	0.2958369649265142	0.680150954959593	0.31984904504040756	1.0202264324393895	0.9595471351212227	0.0029300116121612047	0.002930011612161209	-11548.498025032346	0.0	-1143.6209938811924
12000	-12460.92953647781	-1136.5306075222848	-11324.398928955525	18.752817054595614	2004.775950068692	751.4911029699109	2.5508038899468115	7.4937480278335915	6.521032576409452	5.735995700093642	6.262304586607223	5.409232379406336	4.365643270976511	5.68545657827659	6.107198710297473	6.0060759846946965	6.152278936214614	6.063208792692981	5.714230146393236	4.7842275236182	4.019047291373328	7.0	4.375133345704057	11.094464143677673	0.3677601978657867	0.1892287852227319	0.1845544581678212	0.2584565587436603	0.11470832315713396	0.2869353581721733	0.6694201517366646	0.3305798482633358	1.0041302276049968	0.9917395447900075	0.0027016890224021584	0.0027016890224021532	-11324.398928955525	0.0	-1127.8465512426876
